count_star(),unified_acl_codes
1584,""
21111,AC0
21111,AC01
41982,AC02
21111,AC03
17394,AC111
17394,AC12
17394,AC11-12
21111,AC2
21111,AC212
21111,AC21_X_212
17376,AC22
17394,AC3
21111,AC312
21111,AC31_X_312
22119,AC321
21111,AC32_X_321
17394,AC331
17394,AC332
21111,AC33
17376,AC342
17394,AC343
17376,AC344
17394,AC341_349
21111,AC35
21111,AC36
17394,AC37
21111,AC38_X_382-383
21111,AC382_383
21111,AC4-8_998_X_713
17394,AC998
17394,AC41
17394,AC42
17394,AC43
28437,AC512_513_519
23712,AC519
21111,AC52
23712,AC53
21111,AC611
21111,AC6_X_611
17376,AC733
22119,AC72
21111,AC711_712_719_731_732_739
17394,AC811
21111,AC812
41964,AC82
23712,AC83
21093,AC900
21111,AC910
21093,AC936
17394,AC938
17394,AC999
17394,AC9_X_910
21111,AC920
17376,AC939
21093,AC940-980
49464,TOTAL
7326,AC38
7326,AC3_713_X_38
11025,AC511
7326,AC81
396,AC_NP_MAIN
792,AC_NP_SEC
21315,AC0_X_021
21315,AC1_2
18270,AC3_713_936
21315,AC4-8_998_X_713_821
21315,AC910_920
21987,AC9
396,AC_PNP_MAIN
7770,AC021
3717,AC1
3717,AC221
3717,AC300_371
3717,AC34
3717,AC39
3717,AC3_713
3717,AC4
4725,AC514-516
4725,AC531
3717,AC733-735
3717,AC81_X_812
7770,AC821
4725,AC831
3717,AC938_939
6762,AC995-999
1008,AC121
3045,AC3_713_936-980
