count_star(),unified_acl_codes,time_period_year
10101,AC0,2000
10101,AC01,2000
23772,AC02,2000
10101,AC03,2000
10101,AC111,2000
10101,AC12,2000
10101,AC11-12,2000
10101,AC2,2000
10101,AC212,2000
10101,AC21_X_212,2000
10083,AC22,2000
10101,AC3,2000
10101,AC312,2000
10101,AC31_X_312,2000
10605,AC321,2000
10101,AC32_X_321,2000
10101,AC331,2000
10101,AC332,2000
10101,AC33,2000
10074,AC342,2000
10101,AC343,2000
10083,AC344,2000
10101,AC341_349,2000
10101,AC35,2000
10101,AC36,2000
10101,AC37,2000
10101,AC38_X_382-383,2000
10101,AC382_383,2000
10101,AC4-8_998_X_713,2000
10101,AC998,2000
10101,AC41,2000
10101,AC42,2000
10101,AC43,2000
14628,AC512_513_519,2000
14628,AC519,2000
10101,AC52,2000
14628,AC53,2000
10101,AC611,2000
10101,AC6_X_611,2000
10083,AC733,2000
10101,AC72,2000
10101,AC711_712_719_731_732_739,2000
10101,AC811,2000
10101,AC812,2000
23763,AC82,2000
14637,AC83,2000
10083,AC900,2000
10101,AC910,2000
10083,AC936,2000
10101,AC938,2000
10101,AC999,2000
10101,AC9_X_910,2000
10101,AC920,2000
10083,AC939,2000
10083,AC940-980,2000
23628,TOTAL,2000
10101,AC0,2010
10101,AC01,2010
23772,AC02,2010
10101,AC03,2010
10101,AC111,2010
10101,AC12,2010
10101,AC11-12,2010
10101,AC2,2010
10101,AC212,2010
10101,AC21_X_212,2010
10083,AC22,2010
10101,AC3,2010
10101,AC312,2010
10101,AC31_X_312,2010
10605,AC321,2010
10101,AC32_X_321,2010
10101,AC331,2010
10101,AC332,2010
10101,AC33,2010
10074,AC342,2010
10101,AC343,2010
10083,AC344,2010
10101,AC341_349,2010
10101,AC35,2010
10101,AC36,2010
10101,AC37,2010
10101,AC38_X_382-383,2010
10101,AC382_383,2010
10101,AC4-8_998_X_713,2010
10101,AC998,2010
10101,AC41,2010
10101,AC42,2010
10101,AC43,2010
14628,AC512_513_519,2010
14628,AC519,2010
10101,AC52,2010
14628,AC53,2010
10101,AC611,2010
10101,AC6_X_611,2010
10083,AC733,2010
10101,AC72,2010
10101,AC711_712_719_731_732_739,2010
10101,AC811,2010
10101,AC812,2010
23763,AC82,2010
14637,AC83,2010
10083,AC900,2010
10101,AC910,2010
10083,AC936,2010
10101,AC938,2010
10101,AC999,2010
10101,AC9_X_910,2010
10101,AC920,2010
10083,AC939,2010
10083,AC940-980,2010
23628,TOTAL,2010
4527,AC38,2000
4527,AC3_713_X_38,2000
4509,AC511,2000
4536,AC81,2000
4527,AC38,2010
4527,AC3_713_X_38,2010
4509,AC511,2010
4536,AC81,2010
792,"",2000
792,"",2010
198,AC_NP_MAIN,2000
396,AC_NP_SEC,2000
198,AC_NP_MAIN,2010
396,AC_NP_SEC,2010
9135,AC0_X_021,2000
9135,AC1_2,2000
9135,AC3_713_936,2000
9135,AC4-8_998_X_713_821,2000
9135,AC910_920,2000
9135,AC9,2000
9135,AC0_X_021,2010
9135,AC1_2,2010
9135,AC3_713_936,2010
9135,AC4-8_998_X_713_821,2010
9135,AC910_920,2010
9135,AC9,2010
198,AC_PNP_MAIN,2000
198,AC_PNP_MAIN,2010
4716,AC0,2020
4716,AC01,2020
9768,AC021,2020
4716,AC03,2020
4716,AC1,2020
4716,AC2,2020
4716,AC212,2020
4716,AC21_X_212,2020
4716,AC221,2020
4716,AC300_371,2020
4716,AC312,2020
4716,AC31_X_312,2020
4716,AC321,2020
4716,AC32_X_321,2020
4716,AC33,2020
4716,AC34,2020
4716,AC35,2020
4716,AC36,2020
4716,AC382_383,2020
4716,AC38_X_382-383,2020
4716,AC39,2020
4716,AC3_713,2020
4716,AC4,2020
4716,AC4-8_998_X_713,2020
6723,AC511,2020
6723,AC512_513_519,2020
6723,AC514-516,2020
4716,AC52,2020
6723,AC531,2020
4716,AC611,2020
4716,AC6_X_611,2020
4716,AC711_712_719_731_732_739,2020
6723,AC72,2020
4716,AC733-735,2020
4716,AC812,2020
4716,AC81_X_812,2020
9768,AC821,2020
6723,AC831,2020
4716,AC9,2020
4716,AC900,2020
4716,AC910,2020
4716,AC920,2020
4716,AC936,2020
4716,AC938_939,2020
4716,AC940-980,2020
7761,AC995-999,2020
9768,TOTAL,2020
2007,AC121,2020
2007,AC38,2020
2007,AC3_713_X_38,2020
2007,AC81,2020
6813,"",2020
3045,AC0_X_021,2020
3045,AC1_2,2020
3045,AC3_713_936-980,2020
3045,AC4-8_998_X_713_821,2020
3045,AC910_920,2020
