freq,unit,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AT	: 	94.6 
A,PTP_RT,BE	95.5 	95.4 
A,PTP_RT,BG	98 	: 
A,PTP_RT,DE	93.2 	: 
A,PTP_RT,EE	94.7 	94.0 
A,PTP_RT,EL	: 	97.9 
A,PTP_RT,ES	97.9 	96.8 
A,PTP_RT,FI	92 	89.1 
A,PTP_RT,FR	: 	94.9 
A,PTP_RT,HU	: 	97.6 
A,PTP_RT,IT	97.3 	97.1 
A,PTP_RT,LT	98.7 	: 
A,PTP_RT,LU	: 	95.9 
A,PTP_RT,LV	97.2 	: 
A,PTP_RT,NL	: 	94.5 
A,PTP_RT,NO	91.3 	91.2 
A,PTP_RT,PL	98.7 	98.0 
A,PTP_RT,RO	: 	99.2 
A,PTP_RT,RS	: 	98.5 
A,PTP_RT,SI	95.9 	: 
A,PTP_RT,TR	: 	96.3 
A,PTP_RT,UK	: 	88.1 
A,PTP_TIME,AT	: 	1:17 
A,PTP_TIME,BE	1:24 	1:22 
A,PTP_TIME,BG	1:32 	: 
A,PTP_TIME,DE	1:31 	: 
A,PTP_TIME,EE	1:02 	1:07 
A,PTP_TIME,EL	: 	1:41 
A,PTP_TIME,ES	1:27 	1:28 
A,PTP_TIME,FI	1:06 	1:02 
A,PTP_TIME,FR	: 	1:42 
A,PTP_TIME,HU	: 	1:22 
A,PTP_TIME,IT	1:34 	1:35 
A,PTP_TIME,LT	1:16 	: 
A,PTP_TIME,LU	: 	1:24 
A,PTP_TIME,LV	1:11 	: 
A,PTP_TIME,NL	: 	1:29 
A,PTP_TIME,NO	0:58 	1:03 
A,PTP_TIME,PL	1:25 	1:25 
A,PTP_TIME,RO	: 	1:34 
A,PTP_TIME,RS	: 	1:39 
A,PTP_TIME,SI	1:16 	: 
A,PTP_TIME,TR	: 	1:37 
A,PTP_TIME,UK	: 	1:02 
A,TIME_SP,AT	: 	1:13 
A,TIME_SP,BE	1:20 	1:18 
A,TIME_SP,BG	1:30 	: 
A,TIME_SP,DE	1:24 	: 
A,TIME_SP,EE	0:59 	1:03 
A,TIME_SP,EL	: 	1:39 
A,TIME_SP,ES	1:25 	1:25 
A,TIME_SP,FI	1:00 	0:56 
A,TIME_SP,FR	: 	1:37 
A,TIME_SP,HU	: 	1:20 
A,TIME_SP,IT	1:31 	1:32 
A,TIME_SP,LT	1:15 	: 
A,TIME_SP,LU	: 	1:21 
A,TIME_SP,LV	1:09 	: 
A,TIME_SP,NL	: 	1:24 
A,TIME_SP,NO	0:53 	0:58 
A,TIME_SP,PL	1:24 	1:23 
A,TIME_SP,RO	: 	1:34 
A,TIME_SP,RS	: 	1:37 
A,TIME_SP,SI	1:13 	: 
A,TIME_SP,TR	: 	1:33 
A,TIME_SP,UK	: 	0:55 
