freq,unit,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AT	: 	86.5 
A,PTP_RT,BE	87.1 	76.2 
A,PTP_RT,BG	95 	: 
A,PTP_RT,DE	92.3 	93.8 
A,PTP_RT,EE	81.2 	87.1 
A,PTP_RT,EL	: 	93.4 
A,PTP_RT,ES	67 	79.9 
A,PTP_RT,FI	89.1 	84.4 
A,PTP_RT,FR	93.1 	81.6 
A,PTP_RT,HU	: 	97.4 
A,PTP_RT,IT	85 	85.4 
A,PTP_RT,LT	77.2 	: 
A,PTP_RT,LU	: 	71.4 
A,PTP_RT,LV	73.4 	: 
A,PTP_RT,NL	: 	83.9 
A,PTP_RT,NO	81 	85.1 
A,PTP_RT,PL	95.3 	85.6 
A,PTP_RT,RO	: 	99.9 
A,PTP_RT,RS	: 	91.4 
A,PTP_RT,SI	83.8 	: 
A,PTP_RT,TR	: 	0.0 
A,PTP_RT,UK	90.9 	89.4 
A,PTP_TIME,AT	: 	3:09 
A,PTP_TIME,BE	4:20 	3:31 
A,PTP_TIME,BG	3:59 	: 
A,PTP_TIME,DE	4:52 	4:58 
A,PTP_TIME,EE	3:05 	3:51 
A,PTP_TIME,EL	: 	3:49 
A,PTP_TIME,ES	2:06 	3:27 
A,PTP_TIME,FI	3:35 	3:04 
A,PTP_TIME,FR	6:14 	4:29 
A,PTP_TIME,HU	: 	6:52 
A,PTP_TIME,IT	3:42 	3:30 
A,PTP_TIME,LT	2:35 	: 
A,PTP_TIME,LU	: 	2:46 
A,PTP_TIME,LV	2:53 	: 
A,PTP_TIME,NL	: 	2:59 
A,PTP_TIME,NO	2:48 	3:39 
A,PTP_TIME,PL	3:31 	2:58 
A,PTP_TIME,RO	: 	3:59 
A,PTP_TIME,RS	: 	3:37 
A,PTP_TIME,SI	4:10 	: 
A,PTP_TIME,TR	: 	0:00 
A,PTP_TIME,UK	3:30 	3:25 
A,TIME_SP,AT	: 	2:43 
A,TIME_SP,BE	3:46 	2:41 
A,TIME_SP,BG	3:47 	: 
A,TIME_SP,DE	4:29 	4:40 
A,TIME_SP,EE	2:30 	3:22 
A,TIME_SP,EL	: 	3:34 
A,TIME_SP,ES	1:25 	2:45 
A,TIME_SP,FI	3:12 	2:35 
A,TIME_SP,FR	5:48 	3:39 
A,TIME_SP,HU	: 	6:41 
A,TIME_SP,IT	3:08 	2:59 
A,TIME_SP,LT	2:00 	: 
A,TIME_SP,LU	: 	1:58 
A,TIME_SP,LV	2:07 	: 
A,TIME_SP,NL	: 	2:30 
A,TIME_SP,NO	2:16 	3:06 
A,TIME_SP,PL	3:21 	2:32 
A,TIME_SP,RO	: 	3:59 
A,TIME_SP,RS	: 	3:18 
A,TIME_SP,SI	3:30 	: 
A,TIME_SP,TR	: 	0:00 
A,TIME_SP,UK	3:11 	3:03 
